       Step     Time          Energy         fmax
GPMin:    8 21:08:25       -6.596002        0.2612
GPMin:    9 21:08:32       -6.620470        0.2610
GPMin:   10 21:08:38       -6.675899        0.2434
GPMin:   11 21:08:43       -6.775017        0.2370
GPMin:   12 21:08:49       -6.879862        0.2347
GPMin:   13 21:08:54       -6.974772        0.2189
GPMin:   14 21:09:01       -7.052346        0.1881
GPMin:   15 21:09:06       -7.107457        0.1448
GPMin:   16 21:09:12       -7.147837        0.1372
GPMin:   17 21:09:17       -7.178531        0.1327
GPMin:   18 21:09:22       -7.202840        0.1070
GPMin:   19 21:09:28       -7.219990        0.0715
GPMin:   20 21:09:33       -7.230490        0.0473
GPMin:   21 21:09:39       -7.236377        0.0463
GPMin:   22 21:09:44       -7.239769        0.0367
GPMin:   23 21:09:49       -7.241792        0.0311
GPMin:   24 21:09:55       -7.244658        0.0323
GPMin:   25 21:09:59       -7.245479        0.0276
GPMin:   26 21:10:05       -7.246989        0.0322
GPMin:   27 21:10:09       -7.247856        0.0301
GPMin:   28 21:10:14       -7.250581        0.0301
GPMin:   29 21:10:19       -7.252621        0.0350
GPMin:   30 21:10:24       -7.257274        0.0413
GPMin:   31 21:10:30       -7.261849        0.0400
GPMin:   32 21:10:35       -7.267326        0.0323
GPMin:   33 21:10:41       -7.271849        0.0238
GPMin:   34 21:10:47       -7.275574        0.0261
GPMin:   35 21:10:52       -7.278056        0.0204
GPMin:   36 21:10:56       -7.278769        0.0159
       Step     Time          Energy         fmax
GPMin:    0 21:11:06       -5.126516        1.6472
GPMin:    1 21:11:13       -6.282758        0.8785
GPMin:    2 21:11:20       -6.792698        0.4880
GPMin:    3 21:11:27       -7.026250        0.2653
GPMin:    4 21:11:34       -7.108224        0.1341
GPMin:    5 21:11:40       -7.123227        0.0692
GPMin:    6 21:11:46       -7.125738        0.0525
GPMin:    7 21:11:52       -7.134269        0.0392
GPMin:    8 21:11:58       -7.137718        0.0397
GPMin:    9 21:12:02       -7.139251        0.0395
GPMin:   10 21:12:09       -7.141293        0.0216
GPMin:   11 21:12:13       -7.141677        0.0192
